価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
170万円,秋田県由利本荘市鳥海町下笹子字中台1-4, 348.49㎡,http://local.google.co.jp/maps?q=秋田県由利本荘市鳥海町下笹子字中台1-4,駐車場 空有 (4台) 無料,, 区域外, 宅地, 無指定,, 所有権, 不要,空家, 相談, 0115051-0000131, 専任媒介,https://www.homes.co.jp/kodate/b-1150510000131/,新井建物管理有限会社,東京都杉並区南荻窪４丁目３１－１０,2,画像あり
980万円,秋田県秋田市東通仲町, 135.64㎡（公簿）共有持分1/1,http://local.google.co.jp/maps?q=秋田県秋田市東通仲町,駐車場 空無, 一方 ( 西 4m 公道 間口8.6m ), 市街化区域, 宅地, 第二種住居地域, 平坦, 所有権, 不要,居住中, 相談, 3221592-0000064, 売主,https://www.homes.co.jp/kodate/b-32215920000064/,株式会社リプロデザイン,秋田県秋田市外旭川字八幡田146番地1,2,画像あり
"
150万円",秋田県鹿角郡小坂町小坂字山崎2-54,295平方メートル (公簿),http://local.google.co.jp/maps?q=秋田県鹿角郡小坂町小坂字山崎2-54,,角地 ( 北 6m 公道 間口10m ) ( 西 4m 公道 間口10m ),-,宅地,無指定,平坦,所有権,不要,"- 

",即時,3210578-0000012,一般媒介★,https://www.homes.co.jp/kodate/b-32105780000012/?force_search=1,城南不動産,秋田県大館市字部垂町23-2,1,画像あり
529万円,秋田県大仙市土川字上雨堤63, 176.41㎡（公簿）,http://local.google.co.jp/maps?q=秋田県大仙市土川字上雨堤63,駐車場 空有 (2台) 無料, 角地 ( 南東 9m 公道 ) ( 北東 4m 公道 ), 非線引区域, 宅地, 無指定, 平坦, 所有権, 不要,空家備考刈和野駅より車で7分リフォームを行わずでのお引渡しです。, 即時備考刈和野駅より車で7分リフォームを行わず現況でのおです。, 0121994-0000438, 売主,https://www.homes.co.jp/kodate/b-1219940000438/,株式会社カチタス 横手店,秋田県横手市婦気大堤字婦気前272-1　ベルウッド101号室,2,画像あり
"
780万円",秋田県鹿角市十和田大湯,387.62平方メートル (公簿),http://local.google.co.jp/maps?q=秋田県鹿角市十和田大湯,,-,非線引区域,宅地,商業地域,平坦,所有権,不要,"空家 

",即時,3210579-0000059,一般媒介,https://www.homes.co.jp/kodate/b-32105790000059/?force_search=1,セキワ土地建物,秋田県鹿角市花輪字上中島54,1,画像あり
160万円,秋田県大仙市鑓見内字幕林267-3, 137.25㎡（公簿）,http://local.google.co.jp/maps?q=秋田県大仙市鑓見内字幕林267-3,駐車場 空有 (2台) 無料,, 非線引区域, 宅地, 無指定,, 所有権, 不要,空家, 即時, 0115051-0000200, 専任媒介,https://www.homes.co.jp/kodate/b-1150510000200/,新井建物管理有限会社,東京都杉並区南荻窪４丁目３１－１０,2,画像あり
460万円,秋田県湯沢市八幡字高屋敷, 451.67㎡（公簿）,http://local.google.co.jp/maps?q=秋田県湯沢市八幡字高屋敷,駐車場 空有 無料, 一方 ( 西 6m 公道 間口27m ), 非線引区域, 宅地, 無指定, 平坦, 所有権, 不要,空家, 相談, 3210527-0000252, 一般媒介,https://www.homes.co.jp/kodate/b-32105270000252/,アイワ土地建物,秋田県湯沢市若葉町５番６号,2,画像あり
210万円,秋田県潟上市天王字天王155-2, 412.97㎡（公簿）,http://local.google.co.jp/maps?q=秋田県潟上市天王字天王155-2,, 一方 ( 北東 7.6m 公道 間口7m ), 区域外, 宅地,, 平坦, 所有権, 不要,空家, 即時, 0120784-0000272, 専任媒介,https://www.homes.co.jp/kodate/b-1207840000272/,むつみホーム株式会社,秋田県秋田市下新城中野字琵琶沼２５８番地３,2,画像あり
700万円,秋田県秋田市土崎港東2丁目, 207.23㎡（公簿）,http://local.google.co.jp/maps?q=秋田県秋田市土崎港東2丁目,駐車場 空有 無料, 一方 ( 北 3.5m 公道 間口9.2m ), 市街化区域, 宅地, 第二種中高層住居専用地域, 平坦, 所有権, 不要,空家, 相談, 3221592-0000069, 専任媒介,https://www.homes.co.jp/kodate/b-32215920000069/,株式会社リプロデザイン,秋田県秋田市外旭川字八幡田146番地1,2,画像あり
296万円,秋田県潟上市昭和大久保字堤の上91-22, 167.77㎡,http://local.google.co.jp/maps?q=秋田県潟上市昭和大久保字堤の上91-22,, ( 北西 5m 公道 ) ( 北東 5m 公道 ) ( 南東 4m 公道 ), 市街化区域, 宅地, 第一種住居地域, 平坦, 所有権, 不要,空家, 相談, 0115051-0000605, 専任媒介,https://www.homes.co.jp/kodate/b-1150510000605/,新井建物管理有限会社,東京都杉並区南荻窪４丁目３１－１０,2,画像あり
