価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
"
150万円",岡山県玉野市奥玉1丁目,317.35平方メートル (公簿) / 95.99坪,http://local.google.co.jp/maps?q=岡山県玉野市奥玉1丁目,,一方 ( 南 2m 公道 間口24.6m ),市街化区域,宅地,第一種住居地域,-,所有権,不要,"古家あり 

",相談,0142534-0000830,一般媒介,https://www.homes.co.jp/tochi/b-1425340000830/,ハウスドゥ！倉敷駅東店　株式会社アールイープロジェクト,岡山県倉敷市平田681-4,1,画像あり
"
280万円",岡山県赤磐市下仁保,567平方メートル / 171.51坪,http://local.google.co.jp/maps?q=岡山県赤磐市下仁保,,( 南 3m 公道 ),都市計画区域外,宅地,無指定,平坦,所有権,不要,"古家あり 

",即時,0140434-0000240,一般媒介★,https://www.homes.co.jp/tochi/b-1404340000240/,タカセ不動産株式会社　岡山店,岡山県岡山市南区西市299番地6,1,画像あり
"
732.4万円",岡山県岡山市北区大内田125-3,167平方メートル (公簿) / 50.51坪,http://local.google.co.jp/maps?q=岡山県岡山市北区大内田125-3,,一方 ( 南 6m 公道 間口35m ),市街化調整区域,雑種地,-,平坦,所有権,不要,"古家あり 

",相談,0113650-0000089,専任媒介★,https://www.homes.co.jp/tochi/b-1136500000089/,イデア・フィール有限会社,岡山県岡山市北区平野1002-5,1,画像あり
"
850万円",岡山県倉敷市南畝3丁目,143.03平方メートル (公簿) / 43.26坪,http://local.google.co.jp/maps?q=岡山県倉敷市南畝3丁目,,一方 ( 南 4m 私道 ),市街化区域,宅地,準工業地域,-,所有権,不要,"古家あり更地引渡可 

",相談,0142534-0000743,専任媒介,https://www.homes.co.jp/tochi/b-1425340000743/,ハウスドゥ！倉敷駅東店　株式会社アールイープロジェクト,岡山県倉敷市平田681-4,1,画像あり
"
150万円",岡山県赤磐市石,216.45平方メートル (公簿) / 65.47坪,http://local.google.co.jp/maps?q=岡山県赤磐市石,,-,都市計画区域外,宅地,無指定,-,所有権,不要,"古家あり 

",相談,0141010-0000506,一般媒介,https://www.homes.co.jp/tochi/b-1410100000506/,株式会社後楽不動産　本社営業部,岡山県岡山市北区東古松南町6-31,1,画像あり
"
120万円",岡山県岡山市東区谷尻,464.82平方メートル (公簿) / 140.6坪,http://local.google.co.jp/maps?q=岡山県岡山市東区谷尻,,一方 ( 北 2m 公道 間口11m ),市街化調整区域,宅地,無指定,-,所有権,不要,"古家あり 

",相談,0137766-0000659,一般媒介,https://www.homes.co.jp/tochi/b-1377660000659/,ハウスドゥ　岡山南　株式会社エコプラン,岡山県岡山市南区藤田652-20,1,画像あり
"
690万円",岡山県岡山市東区南古都,192平方メートル (公簿) / 58.08坪,http://local.google.co.jp/maps?q=岡山県岡山市東区南古都,,一方 ( 北 4m 公道 間口9.4m ),市街化区域,宅地,第一種中高層住居専用地域,平坦,所有権,不要,"古家あり更地引渡可 

",即時,0140434-0000027,専任媒介★,https://www.homes.co.jp/tochi/b-1404340000027/,タカセ不動産株式会社　岡山店,岡山県岡山市南区西市299番地6,1,画像あり
"
920万円",岡山県岡山市東区瀬戸町下,190.53平方メートル (公簿) / 57.63坪,http://local.google.co.jp/maps?q=岡山県岡山市東区瀬戸町下,,二方 ( 北西 2.4m 公道 間口10.2m ) ( 北東 3.5m 公道 間口3m ),市街化区域,宅地,近隣商業地域,平坦,所有権,不要,"古家あり更地引渡可 

",即時,0140434-0000204,専任媒介★,https://www.homes.co.jp/tochi/b-1404340000204/,タカセ不動産株式会社　岡山店,岡山県岡山市南区西市299番地6,1,画像あり
"
613.9万円",岡山県倉敷市連島町矢柄6194-1,202.94平方メートル (公簿) / 61.38坪,http://local.google.co.jp/maps?q=岡山県倉敷市連島町矢柄6194-1,,角地 ( 北 3.1m 公道 間口18m ) ( 東 3.1m 公道 間口28m ) ( 西 2.5m 公道 間口25m ),市街化区域,宅地,第一種中高層住居専用地域,平坦,所有権,不要,"古家あり 

",相談,0147162-0000005,専任媒介★,https://www.homes.co.jp/tochi/b-1471620000005/,H・M　Life株式会社,岡山県倉敷市玉島阿賀崎１丁目2-8　コーポ佐藤1階南,1,画像あり
"
500万円",岡山県瀬戸内市長船町八日市,503.29平方メートル (公簿) / 152.24坪,http://local.google.co.jp/maps?q=岡山県瀬戸内市長船町八日市,,二方 ( 南 7m 公道 間口45m ) ( 東 2m 公道 間口2m ),都市計画区域外,宅地,無指定,平坦,所有権,不要,"古家あり 

",即時,0112528-0000618,一般媒介,https://www.homes.co.jp/tochi/b-1125280000618/,株式会社丸通地建,岡山県瀬戸内市邑久町豊原１１７番地の１,1,画像あり
"
790万円","岡山県岡山市東区金田988-1,2",480平方メートル / 145.19坪,"http://local.google.co.jp/maps?q=岡山県岡山市東区金田988-1,2",,一方 ( 南東 4m ),市街化調整区域,宅地,無指定,平坦,所有権,不要,"古家あり 

",即時,0140434-0000067,専任媒介★,https://www.homes.co.jp/tochi/b-1404340000067/,タカセ不動産株式会社　岡山店,岡山県岡山市南区西市299番地6,1,画像あり
"
600万円",岡山県岡山市南区東畦,106.96平方メートル (公簿) / 32.35坪,http://local.google.co.jp/maps?q=岡山県岡山市南区東畦,,一方 ( 東 3.9m 公道 ),市街化区域,宅地,第一種低層住居専用地域,-,所有権,不要,"古家あり 

",相談,0138551-0000611,仲介,https://www.homes.co.jp/tochi/b-1385510000611/,ヤマト住建株式会社　岡山店,岡山県岡山市北区下中野1223-1,1,画像あり
"
980万円",岡山県倉敷市福田町福田,374.81平方メートル / 113.38坪,http://local.google.co.jp/maps?q=岡山県倉敷市福田町福田,,-,市街化区域,宅地,第一種低層住居専用地域,-,所有権,不要,"古家あり 

",即時,0140434-0000285,一般媒介★,https://www.homes.co.jp/tochi/b-1404340000285/,タカセ不動産株式会社　岡山店,岡山県岡山市南区西市299番地6,1,画像あり
"
700万円",岡山県玉野市田井2丁目,168.59平方メートル (公簿) / 50.99坪,http://local.google.co.jp/maps?q=岡山県玉野市田井2丁目,,一方 ( 西 3.3m 公道 ),市街化区域,宅地,第一種低層住居専用地域,-,所有権,不要,"古家あり 

",相談,0137766-0000503,専任媒介,https://www.homes.co.jp/tochi/b-1377660000503/,ハウスドゥ　岡山南　株式会社エコプラン,岡山県岡山市南区藤田652-20,1,画像あり
"
980万円",岡山県岡山市東区神崎町,332.69平方メートル (公簿) / 100.63坪,http://local.google.co.jp/maps?q=岡山県岡山市東区神崎町,,一方 ( 東 4.5m 公道 ),市街化区域,宅地,第一種住居地域,-,所有権,不要,"古家あり 

",相談,0141010-0000672,専任媒介,https://www.homes.co.jp/tochi/b-1410100000672/,株式会社後楽不動産　本社営業部,岡山県岡山市北区東古松南町6-31,1,画像あり
"
750万円",岡山県玉野市東高崎,555.37平方メートル (公簿) / 167.99坪,http://local.google.co.jp/maps?q=岡山県玉野市東高崎,,二方 ( 西 3.5m 公道 ) ( 南 4.5m 公道 ),市街化調整区域,宅地,無指定,-,所有権,不要,"古家あり 

",2022年10月,0137766-0000634,専任媒介,https://www.homes.co.jp/tochi/b-1377660000634/,ハウスドゥ　岡山南　株式会社エコプラン,岡山県岡山市南区藤田652-20,1,画像あり
"
1,000万円",岡山県倉敷市児島赤崎3丁目,796.96平方メートル (公簿) / 241.08坪,http://local.google.co.jp/maps?q=岡山県倉敷市児島赤崎3丁目,,二方 ( 北 6.6m 公道 ) ( 南 2.2m 公道 ),市街化区域,宅地,第一種低層住居専用地域,-,所有権,不要,"古家あり 

",相談,0137766-0000558,一般媒介,https://www.homes.co.jp/tochi/b-1377660000558/,ハウスドゥ　岡山南　株式会社エコプラン,岡山県岡山市南区藤田652-20,1,画像あり
"
890万円",岡山県津山市上河原274-7,214平方メートル (公簿) / 64.73坪,http://local.google.co.jp/maps?q=岡山県津山市上河原274-7,,一方 ( 西 4.8m 公道 間口11.8m ),非線引区域,宅地,第一種住居地域,平坦,所有権,不要,"古家あり 

",相談,3700441-0000082,一般媒介,https://www.homes.co.jp/tochi/b-37004410000082/,大東建託リーシング株式会社　岡山店,岡山県岡山市北区野田４丁目14-12　コンダビル1階,1,画像なし
